pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-5962,tested,9,[],"superpathway of fatty acid biosynthesis, saturated and unsaturated",1.4695445652457978e-14,0.0004710042142916841,100,4.710042142916841e-08,1.2475235078367002e-14,3.1555941399415838e-15,1.1779694378618155,0.6666666666666666,2,2,0.002891552472018379,0.0007008804287610525,0.0002964746456375871,0.3333333333333333,2.891552472018379e-05,7.008804287610524e-06,2.964746456375871e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-954,tested,5,[],superpathway of methionine biosynthesis,2.3605955913074176e-16,7.565952731472245e-06,13,4.476895107380027e-08,2.713748508610561e-16,9.273917570537039e-17,0.8698652744782317,0.6666666666666666,2,2,0.0001694285898888112,0.0002481725471789245,3.4525978646781166e-05,1.0,1.3032968452985476e-05,1.909019593684035e-05,2.6558445112908604e-06,1.0,1.0,1.0,1.0
PWY3O-4109,tested,13,[],isoleucine degradation,4.858452575255863e-14,0.0015571842406147407,208,3.599260911184219e-08,4.504969802147235e-14,5.185596689463029e-15,1.0784650704961762,0.6666666666666666,2,2,0.0038135421746205485,0.003057272601801294,0.00019847762440123413,0.3333333333333333,1.8334337377983407e-05,1.4986630400986734e-05,9.729295313785984e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4105,tested,11,[],valine degradation,4.187082402800843e-14,0.0013420031647532148,198,3.423128162313067e-08,4.478007049370236e-14,6.072623144354888e-15,0.9350325617262466,0.6666666666666666,2,2,0.003679303236233316,0.002509797071594906,0.00031550889599412,0.3333333333333333,1.858233957693594e-05,1.2937098307190237e-05,1.626334515433608e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4,tested,3,[],carnitine shuttle,2.3056520580299385e-15,7.389853031376117e-05,48,3.207401489312551e-08,2.2109180932640047e-15,3.58571598824966e-16,1.0428482470945257,0.6666666666666666,2,2,0.0014688480942333902,0.00043966810209793817,0.0003026733370601866,0.3333333333333333,3.060100196319563e-05,9.159752127040379e-06,6.305694522087221e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4112,tested,10,[],leucine degradation,3.757995162886191e-14,0.0012044762716747566,194,3.2003301936304514e-08,4.3210094925966516e-14,6.267616905076406e-15,0.8697030565021682,0.6666666666666666,2,2,0.0020643720561681718,0.00266952799593545,4.864988118083121e-05,1.0,1.0641093073031814e-05,1.4050147347028685e-05,2.560520062149013e-07,1.0,1.0,1.0,1.0
PWY-2201,tested,11,[],folate transformations I,1.538999572854756e-14,0.0004932652617353243,137,2.6280849365193898e-08,2.1576323305192444e-14,9.740754803097681e-15,0.7132816611458489,0.6666666666666666,2,2,0.0014769431372186146,0.001707629216321754,0.00012721386622150407,1.0,1.0780606841011786e-05,1.2464446834465358e-05,9.285683665803223e-07,1.0,1.0,1.0,1.0
PWY-5971-1,tested,4,[],myristate biosynthesis,2.36635255661255e-15,7.584404399998505e-05,56,2.4184963010199315e-08,7.899230319230119e-15,5.949693146840753e-15,0.29956748454996074,0.6666666666666666,2,2,0.0012772525448278217,0.0005617159590398207,4.7694222165976514e-05,0.3333333333333333,2.2808081157639673e-05,1.0030642125711084e-05,8.516825386781522e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-13,tested,5,[],superpathway of glutamate biosynthesis,1.1314820269419344e-14,0.00036265167841018076,136,1.960703278601756e-08,1.2274000378890114e-14,8.747111040585502e-15,0.9218526902508125,0.6666666666666666,2,2,0.0009164821217411428,0.0007217904632901841,0.00012388654951857948,0.3333333333333333,6.73883913044958e-06,5.275425192896089e-06,9.427881365801137e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4108,tested,10,[],L-tyrosine degradation III,2.068314527352115e-14,0.0006629161727399642,184,1.9580463514294784e-08,3.77045247644146e-14,1.8423700133313355e-14,0.5485587048969208,0.6666666666666666,2,2,0.002430356737911945,0.004036870243018128,0.0012358617483197386,1.0,1.3208460532130136e-05,2.4257866624870805e-05,8.696708320990863e-06,1.0,1.0,1.0,1.0
PWY-7221,tested,4,[],guanosine ribonucleotides de novo biosynthesis,8.816768594947972e-16,2.825865416310443e-05,42,1.6019645217179383e-08,8.054809519333526e-16,4.73555209683994e-16,1.094596783919664,0.6666666666666666,2,2,6.240314792122309e-05,0.0009563701060275763,0.0004509722752991916,1.0,1.4857892362195973e-06,2.2770716810180386e-05,1.0737435126171226e-05,1.0,1.0,1.0,1.0
PWY-6614,tested,3,[],tetrahydrofolate biosynthesis,2.785098262748078e-17,8.926527646688828e-07,12,6.198977532422797e-09,1.018616411379604e-16,8.130452208501295e-17,0.2734197320634142,0.6666666666666666,2,2,0.00010900091275122285,0.00033899012693197855,0.00018703988947497402,1.0,9.083409395935237e-06,2.8249177244331544e-05,1.5586657456247833e-05,1.0,1.0,1.0,1.0
PWY3O-31704,tested,13,[],ergosterol biosynthesis,3.450677760633643e-15,0.00011059778695103336,50,4.423911478041334e-08,4.353412441532333e-15,2.1452528169401807e-16,0.7926374555540752,1.0,2,2,0.0009364793913594944,0.0014649495696283479,9.213205427926574e-05,1.0,1.8729587827189888e-05,2.9616763152548102e-05,2.1604128455664605e-06,1.0,1.0,1.0,1.0
PWY-6123-1,tested,5,[],inosine-5'-phosphate biosynthesis I,2.0012711919505793e-15,6.414280911525831e-05,39,4.2171472133634653e-08,2.5366900352724424e-15,5.286298742496198e-16,0.7889301271038586,1.0,2,2,0.0008490749812828346,0.0006128659381194404,0.00022540597458148116,0.3333333333333333,2.177115336622653e-05,1.5714511233831807e-05,5.779640373884133e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY0-162,tested,9,[],superpathway of pyrimidine ribonucleotides de novo biosynthesis,9.20012628363373e-15,0.0002948735515810903,84,4.179046932838581e-08,2.293256323769935e-14,1.3510290705186917e-14,0.40118176883556733,1.0,2,2,0.0005327936203125411,0.002744161132041798,0.0022811429963012705,0.6666666666666666,6.342781194196917e-06,3.2668584905259493e-05,2.715646424168179e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-1,tested,6,[],salvage pathways of purines and their nucleosides,1.116985126871104e-16,3.5800527217725073e-06,10,3.5800527217725077e-08,2.818604305337947e-16,3.380137915577489e-18,0.3962901513900792,1.0,2,2,0.0002320794121806092,0.0003775773881064801,0.00013817486011714889,1.0,2.3207941218060918e-05,3.7757738810648013e-05,1.381748601171489e-05,1.0,1.0,1.0,1.0
PWY-7220-1,tested,5,[],adenosine deoxyribonucleotides de novo biosynthesis II,1.4062128646916594e-15,4.507057500159383e-05,36,3.477667824197055e-08,2.049850543178863e-15,8.011555252486393e-18,0.6860075088747375,1.0,2,2,0.0008023947851054355,0.004392978217120173,0.0031470635318176874,1.0,2.2288744030706543e-05,0.00012202717269778258,8.741843143938022e-05,1.0,1.0,1.0,1.0
PWY-7222-1,tested,5,[],guanosine deoxyribonucleotides de novo biosynthesis II,1.4062128646916594e-15,4.507057500159383e-05,36,3.477667824197055e-08,1.8897142528796686e-15,3.83105961081746e-16,0.744140476555533,1.0,2,2,0.0008023947851054355,0.0008311344427117146,8.989173702665334e-05,0.6666666666666666,2.2288744030706543e-05,2.3087067853103186e-05,2.4969926951848152e-06,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY-6075-1,tested,5,[],ergosterol biosynthesis I,7.295582124973974e-16,2.3383094380666642e-05,26,3.459037630276131e-08,5.6644116825818966e-15,4.922910623165569e-15,0.12879682010768986,1.0,2,2,0.00033133688982829476,0.0008783718960452177,0.0006478265933105802,0.6666666666666666,1.274372653185749e-05,3.378353446327761e-05,2.491640743502232e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY-5653,tested,4,[],NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,2.836781632386024e-16,9.092178185529042e-06,17,3.146082417138077e-08,5.756341809473741e-16,2.6047468826530593e-16,0.49280979592234636,1.0,2,2,0.00051881192279213,0.0004970704872549786,0.00018317513172151715,0.6666666666666666,3.051834839953706e-05,2.9239440426763445e-05,1.0775007748324539e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-2220,tested,5,[],"salvage pathways of adenine, hypoxanthine and their nucleosides",7.655336870007577e-17,2.4536145502963948e-06,9,3.029153765798018e-08,1.9435549492598226e-16,1.4252785175431697e-18,0.39388322274721443,1.0,2,2,0.00019405895072808048,0.0002315004414797371,8.18104769486474e-05,0.6666666666666666,2.1562105636453386e-05,2.5722271275526343e-05,9.090052994294157e-06,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
