,MKT1,MIP1,HAL9,LMO1,VPS70,BUL2,VPS36,RSF1,FLO5
ARP2,1.2244784086458034e-09,4.014327835224672e-10,2.6590808004511895e-09,5.682127698827263e-12,5.217988862726235e-10,2.015094588996021e-09,7.249235795176358e-10,2.0395009554645637e-09,1.971985911385432e-10
MPS1,7.965383851936936e-10,2.1978692292625456e-10,2.5578037550884883e-09,7.593229259807351e-11,3.633653361600753e-10,1.809968470038695e-09,8.454436538242077e-10,2.8198664945961186e-09,1.9925317118779247e-10
MRX9,2.658165341327676e-10,8.145202013599576e-11,2.2226325011195664e-09,1.0109126827219778e-10,1.432246138414067e-10,1.1603131696302202e-09,4.697405021099734e-10,4.006443622952795e-09,1.2262771148211513e-10
RTK1,1.244065999425826e-10,3.139379037246401e-10,1.450374470605892e-09,3.992563003818515e-10,6.279294879230321e-10,1.1743067494938379e-09,7.230371981809364e-10,3.750964866122848e-09,2.788915421684908e-10
DIA3,2.210825829686952e-10,6.428071347464208e-10,1.2251967211673414e-09,2.7813714340337136e-10,3.2655159992334147e-10,1.033525041529514e-09,7.623294567027378e-10,5.668474110727668e-09,7.377424728621866e-10
GPD1,1.6937849624518767e-09,3.1920724568686237e-09,1.7703118991010696e-09,4.5582648670165396e-10,4.1106058858583426e-10,2.370976753071414e-11,3.102879264238657e-09,2.37537596173943e-09,2.206940497090633e-10
GPM2,4.845454817694672e-10,3.751124039079824e-09,2.56486778158883e-09,6.106698489816399e-11,7.39213667548806e-10,4.6183884705072923e-11,2.0170591630378543e-09,2.175620023741515e-09,1.9405839467973654e-10
RPN4,9.610186581442181e-10,3.1928353962829656e-09,1.2264396034062731e-09,2.5200409500754177e-10,3.2477876503464353e-10,1.73495956070431e-10,8.009756709754288e-10,8.229491025311276e-10,4.0319107784539753e-11
OSH2,1.025471832134309e-09,3.868602165166495e-09,4.67862719211311e-10,6.484994806092751e-10,1.1953655889663919e-09,3.9420924170341407e-10,3.557250392750934e-10,6.279840142556132e-10,5.4122021923892805e-11
CDC7,8.361279492066932e-10,5.9329841149008026e-09,3.8622500577655643e-10,1.2907370935561513e-09,2.0761607233010717e-09,1.047131379365759e-10,4.990723638768007e-10,5.186972702871838e-10,5.1434181377231e-10
TSC13,7.463769783276723e-10,5.8050907447297996e-09,2.883068623219064e-10,1.2479538771734874e-09,2.0545618266726206e-09,3.655567880561893e-11,2.6718629746852255e-10,6.294124274226174e-10,5.133848633795148e-10
NOP1,1.0292354746820637e-09,5.646518241473718e-09,4.175554082947223e-10,1.0060526366974523e-09,2.4294629022207187e-09,7.173313901171152e-11,3.66004534379636e-10,4.871136654060395e-10,2.6887267100328905e-10
SLX5,1.5319019369104165e-09,5.5134959065568005e-09,5.022626974010428e-11,8.613506199443634e-10,3.067547544000414e-09,2.0850569109762912e-10,5.633925802212382e-10,4.637754892348893e-10,8.49686513904168e-11
YDL012C,1.7738745123226907e-09,3.0260276922651046e-09,6.038539184348426e-11,4.28555234253185e-10,3.389452276417494e-09,5.763768583248438e-10,1.4906007586195709e-09,1.4147450414950493e-09,1.2342201079692724e-10
GRX6,2.39741326068663e-09,2.754586089608294e-09,2.536906967877632e-11,4.6435358324555276e-10,3.280327852127133e-09,4.6504112760127574e-10,1.8553133105489592e-09,1.3963310040918677e-09,1.5058712689948062e-10
YDL009C,3.1640301308738185e-09,3.3822870088010377e-09,2.1645157490822923e-11,4.76142883336074e-10,3.2690792022756146e-09,5.567091070606397e-10,1.4549454365278558e-09,1.594874018403112e-09,3.307836165981029e-10
